root,verb_forms,count_vf,frequency,romanized,root_length
लुट,लुट,1.0,2.0,luTa,3
लुटा,"लुटाने,लुटा",2.0,3.0,luTA,4
लुढक,"लुढ़क,लुढ़ककर",2.0,6.0,luDhaka,4
लुभा,"लुभाएगा,लुभाएंगे,लुभाने,लुभाता,लुभा,लुभाती,लुभाते",7.0,13.0,lubhA,4
लुढ़कर,लुढ़कर,1.0,1.0,luढ़kara,5
लूट,"लूटने,लूटकर,लूट,लूटी,लूटे,लूटता",6.0,16.0,lUTa,3
ले,"लेकर,ले,लिया,लें,लेगी,लेंगे,लेते,लेगा,लेता,ली,लेने,लेना,लेनी,लिये,लिए,लेती,लीजिए,लो,लेंगें,लेंगी,लूँ,लीजिये",22.0,1244.0,le,2
लेट,"लेटी,लेटे",2.0,5.0,leTa,3
लेटा,लेटा,1.0,1.0,leTA,4
लोट,लोट,1.0,1.0,loTa,3
लौट,"लौटे,लौट,लौटता,लौटने,लौटते,लौटी,लौटना,लौटेंगे,लौटूंगी,लौटकर,लौटें,लौटेगी",12.0,84.0,lauTa,3
लौटा,"लौटाने,लौटाना,लौटा,लौटाया",4.0,8.0,lauTA,4
लड़,"लड़ा,लड़ेंगे,लड़ना,लड़नी,लड़ूंगी",5.0,22.0,la.Da,2
लड़खड़ा,लड़खड़ा,1.0,1.0,la.Dakha.DA,5
वसूल,"वसूलने,वसूल,वसूला",3.0,13.0,vasUla,4
वीन,वीनने,1.0,1.0,vIna,3
शरमा,शरमाते,1.0,1.0,sharamA,4
सँवर,"संवरकर,संवरीं",2.0,1.0,sa.Nvara,4
सँवार,"संवार,संवारने",2.0,5.0,sa.NvAra,5
संजो,"संजोए,संजोकर,संजोये,संजो",4.0,1.0,saMjo,4
संभल,"संभल,संभलकर,संभला",3.0,3.0,saMbhala,4
संभाल,"संभाल,संभालने,संभालते,संभालना,संभालेंगे,संभाले,संभालेंगीं,संभाला,संभालकर,संभाली,संभालेंगी,संभालता",12.0,35.0,saMbhAla,5
संवर,संवर,1.0,1.0,saMvara,4
सक,सकता,1.0,1.0,saka,2
सज,"सजा,सजी,सजने,सजे",4.0,10.0,saja,2
सजा,"सजाकर,सजाएं,सजाने,सजाइए,सजाया,सजाएंगे,सजाए",7.0,67.0,sajA,3
सट,"सटे,सटा,सटी,सटकर",4.0,14.0,saTa,2
सड,"सड़,सड़ते",2.0,2.0,saDa,2
सडा,सड़ायेंगे,1.0,1.0,saDA,3
सता,"सताई,सता,सताने,सताए",4.0,7.0,satA,3
सध,"सधे,सधी,सधा",3.0,2.0,sadha,2
सन,सना,1.0,3.0,sana,2
समझ,"समझना,समझने,समझा,समझते,समझता,समझ,समझी,समझकर,समझिए,समझो,समझे,समझती,समझें,समझेंगे",14.0,122.0,samajha,3
समझा,"समझाने,समझाया,समझाना,समझाते,समझाऊँ",5.0,17.0,samajhA,4
समा,"समाए,समाया,समा",3.0,6.0,samA,3
समेट,"समेटे,समेटने,समेट",3.0,4.0,sameTa,4
सरक,"सरका,सरकते,सरकने,सरकती",4.0,2.0,saraka,3
सरका,सरकाया,1.0,1.0,sarakA,4
सराह,सराहा,1.0,2.0,sarAha,4
सह,"सहने,सहेंगे,सहोगे",3.0,4.0,saha,2
सहम,सहम,1.0,1.0,sahama,3
सहला,सहलाते,1.0,2.0,sahalA,4
सहेज,सहेजने,1.0,1.0,saheja,4
साध,"साधा,साधते,साध,साधे,साधने",5.0,30.0,sAdha,3
सिखा,"सिखाई,सिखाया,सिखाना,सिखाने,सिखा,सिखायेगी,सिखाते",7.0,11.0,sikhA,4
सिधार,सिधार,1.0,1.0,sidhAra,5
सिमट,"सिमटती,सिमट",2.0,1.0,simaTa,4
सिल,सिले,1.0,2.0,sila,3
सिसक,सिसकते,1.0,1.0,sisaka,4
सिहर,सिहरा,1.0,1.0,sihara,4
सींच,"सींच,सींचती",2.0,2.0,sIMcha,4
सीख,"सीख,सीखते,सीखा,सीखने,सीखो,सीखे,सीखीं,सीखना",8.0,11.0,sIkha,3
सुखा,"सुखा,सुखाकर,सुखाने,सुखाए",4.0,1.0,sukhA,4
सुझा,"सुझाई,सुझाया,सुझाएगी,सुझाने,सुझाए",5.0,10.0,sujhA,4
सुधर,"सुधरने,सुधरता,सुधरी,सुधरे,सुधरेगी,सुधरेंगे,सुधर,सुधरते",8.0,13.0,sudhara,4
सुधार,"सुधारने,सुधारा,सुधारनी,सुधारना,सुधारते,सुधारें,सुधारी,सुधार",8.0,63.0,sudhAra,5
सुन,"सुन,सुना,सुनी,सुने,सुनने,सुननी,सुनें,सुनकर,सुनना,सुनेंगे,सुनते,सुनता,सुनिए,सुनो,सुनिएगा",15.0,86.0,suna,3
सुनवाना,सुनवाने,1.0,1.0,sunavAnA,7
सुना,"सुनाई,सुनाकर,सुनाने,सुनाया,सुनाएगी,सुनाए,सुनाते,सुनाना,सुनाएगा",9.0,41.0,sunA,4
सुलग,सुलग,1.0,3.0,sulaga,4
सुलगा,सुलगा,1.0,1.0,sulagA,5
सुलझ,"सुलझी,सुलझा,सुलझ,सुलझता,सुलझने",5.0,10.0,sulajha,4
सुलझा,"सुलझाने,सुलझाया,सुलझाए,सुलझाना,सुलझाई",5.0,33.0,sulajhA,5
सूंघ,"सूंघने,सूंघना,सूंघ",3.0,2.0,sUMgha,4
सूख,"सूख,सूखा,सूखे,सूखने,सूखी,सूखते",6.0,3.0,sUkha,3
सूज,"सूज,सूजे",2.0,1.0,sUja,3
सूझ,"सूझ,सूझता,सूझना",3.0,8.0,sUjha,3
सेंक,"सेंकने,सेंकती,सेंक",3.0,3.0,seMka,4
सेक,सेकते,1.0,1.0,seka,3
सो,"सोते,सोने,सो,सोए,सोता,सोयेगा,सोये",7.0,23.0,so,2
सोच,"सोची,सोचने,सोचे,सोचना,सोचें,सोचिए,सोचते,सोचिये,सोचा,सोच,सोचकर,सोचता,सोचती",13.0,58.0,socha,3
सौंप,"सौंप,सौंपा,सौंपने,सौंपी,सौंपना,सौंपे,सौंपेगी,सौंपेंगे,सौंपेगा,सौंपकर",10.0,144.0,sauMpa,4
सौप,सौपा,1.0,1.0,saupa,3
स्वीकार,स्वीकारते,1.0,98.0,svIkAra,7
सड़,सड़ने,1.0,1.0,sa.Da,2
हँस,हंसने,1.0,1.0,ha.Nsa,3
हंस,"हंसना,हंस",2.0,2.0,haMsa,3
हट,"हटते,हटकर,हट,हटेंगे,हटेगा,हटना,हटने,हटती,हटतीं,हटी,हटवाएं",11.0,26.0,haTa,2
हटा,"हटाता,हटाया,हटा,हटाने,हटाना,हटाई,हटाकर,हटाए,हटाते,हटाएंगे",10.0,124.0,haTA,3
हडप,"हड़पकर,हड़प,हड़पने",3.0,7.0,haDapa,3
हथिया,"हथियाने,हथिया,हथियाना",3.0,4.0,hathiyA,5
हरा,"हराने,हराकर,हरा,हराया,हराना,हराती",6.0,17.0,harA,3
हांक,हांके,1.0,1.0,hAMka,4
हार,"हारकर,हारने,हारे,हारी,हार,हारा,हारती,हारता",8.0,67.0,hAra,3
हिचक,"हिचकते,हिचक",2.0,3.0,hichaka,4
हिचकिचा,"हिचकिचा,हिचकिचाते",2.0,1.0,hichakichA,7
हिल,"हिल,हिलते,हिलने,हिला",4.0,16.0,hila,3
हिला,"हिलाएं,हिलाकर,हिलाते,हिलाने",4.0,7.0,hilA,4
है,"है,हैं,हूं,हूँ,हैँ",5.0,4942.0,hai,2
हो,"हुई,होने,हुआ,होते,होती,होकर,होतीं,होगी,होगा,होता,हुए,होना,होंगे,होनी,हों,हुये,हुईं,होनेवाला,होंगी,हुयी,होनेवाले,होनेवाली,हुए...,होगीं,होगे,होऊंगा",26.0,4472.0,ho,2
होप,होप,1.0,3.0,hopa,3
