root,verb_forms,count_vf,frequency,romanized
जन्म,"जन्मे,जन्में",2,11,janma
जन्मा,जन्में,1,3,janmA
जम,"जमता,जमा,जमी,जम,जमना,जमने,जमे",7,31,jama
जमा,"जमाए,जमाये,जमाएं,जमाया,जमाकर,जमाने,जमाई",7,47,jamA
जल,"जलना,जलने,जल,जलती,जलता,जलकर",6,27,jala
जला,"जलाते,जलाने,जलाना,जला,जलाकर,जलाए,जलाया",7,16,jalA
जा,"जा,जाते,जाने,जाना,जाएं,जानी,जाता,जाती,जाएगा,गया,गये,जाकर,जाएगी,जाएंगी,जाएंगे,जाएँ,गई,जाया,जाए,जाइए,जाएगीं,गईं,जाओ,जाएँगे,जायेंगी,जायेगी,जाओगे,जाऊँगी,जाऊँगा,जाके,जायें,जातीं",32,497,jA
जाग,"जागना,जाग",2,3,jAga
जान,"जानते,जानकर,जानने,जान,जानना,जानती,जानता,जानतीं",8,162,jAna
जानबूझ,"जानबूझ,जानबूझकर",2,1,jAnabUjha
जिता,"जिताने,जिताना,जिताए",3,1,jitA
जी,"जी,जीते,जीने,जियेगी,जियूँ",5,24,jI
जीत,"जीतने,जीता,जीत,जीती,जीतेंगीं,जीतकर,जीतते,जीतीं,जीतना,जीतता,जीतेगा",11,82,jIta
जीना,जीने,1,3,jInA
जुट,"जुटा,जुटे,जुट,जुटी,जुटेंगे,जुटते,जुटने",7,59,juTa
जुटा,"जुटाए,जुटाया,जुटाने,जुटाई,जुटाना,जुटाकर",6,33,juTA
जुड,"जुड़ा,जुड़ी,जुड़े,जुड़कर",4,53,juDa
जुड़,"जुड़े,जुड़ा,जुड़ी,जुड़,जुड़कर",5,5,ju.Da
जुल,जुलती,1,2,jula
जुड़,"जुड़ने,जुड़ना,जुड़",3,68,ju.Da
जूझ,"जूझ,जूझना,जूझने,जूझते",4,19,jUjha
जोड,"जोड़े,जोड़,जोड़ेगा,जोड़कर,जोड़े,जोड़ना",6,30,joDa
जोत,"जोतते,जोता",2,1,jota
जोह,जोह,1,1,joha
जोड़,"जोड़कर,जोड़ा,जोड़ना,जोड़ने,जोड़,जोड़ती",6,32,jo.Da
जड़,जड़,1,6,ja.Da
झटक,"झटक,झटके,झटकने",3,3,jhaTaka
झटपटा,झटपटाते,1,1,jhaTapaTA
झलक,"झलक,झलकता,झलकना",3,9,jhalaka
झाँक,"झाँकने,झाँकती,झाँकते",3,2,jhA.Nka
झांक,झांककर,1,1,jhAMka
झाड,झाड़ना,1,2,jhADa
झाड़,झाड़ने,1,4,jhA.Da
झुक,"झुक,झुकना,झुककर,झुका,झुकें,झुकने,झुकी,झुकता,झुकते",9,9,jhuka
झुका,"झुकाओगे,झुका",2,4,jhukA
झुठला,"झुठला,झुठलाते,झुठलाने",3,3,jhuThalA
झुलस,झुलसते,1,1,jhulasa
झूल,"झूलती,झूल,झूलते",3,1,jhUla
झेल,"झेल,झेलना,झेलनी,झेले,झेलने",5,13,jhela
झोंक,"झोंकने,झोंक",2,4,jhoMka
झोक,झोको,1,1,jhoka
टंग,टंगा,1,1,TaMga
टकरा,"टकराने,टकरा,टकराई,टकरायी,टकराएगा,टकराते,टकराती",7,11,TakarA
टटोल,"टटोलकर,टटोलें",2,2,TaTola
टपक,टपक,1,1,Tapaka
टल,"टल,टलने,टला,टलती",4,7,Tala
टहल,"टहलने,टहलीं",2,2,Tahala
टाल,"टालता,टाल,टालने,टालते,टाला,टाली",6,35,TAla
टिक,"टिकी,टिक,टिका,टिकने",4,14,Tika
टिका,"टिकाकर,टिकाये",2,2,TikA
टूट,"टूट,टूटी,टूटती,टूटने,टूटकर,टूटे,टूटा,टूटते,टूटना",9,36,TUTa
टेक,"टेक,टेका,टेकने,टेके",4,5,Teka
टोक,"टोकना,टोकती",2,3,Toka
ठग,"ठगी,ठग,ठगने",3,12,Thaga
ठन,ठन,1,1,Thana
ठहर,"ठहर,ठहरिये,ठहरे,ठहरें,ठहरने,ठहरी,ठहरना,ठहरेंगे,ठहरकर,ठहरते",10,32,Thahara
ठहरा,"ठहराया,ठहराते,ठहरा,ठहराए,ठहराने,ठहराती,ठहराकर",7,43,ThaharA
ठान,ठान,1,2,ThAna
ठिठक,ठिठक,1,2,ThiThaka
ठिठुरा,ठिठुरा,1,2,ThiThurA
ठुकरा,"ठुकराते,ठुकरा,ठुकराए",3,15,ThukarA
ठोंक,"ठोंकते,ठोंक",2,4,ThoMka
ठोक,"ठोका,ठोक",2,2,Thoka
डँस,डंसने,1,1,Da.Nsa
डगमगा,डगमगाने,1,1,DagamagA
डट,"डटे,डटकर,डट",3,4,DaTa
डर,"डर,डरकर,डरो,डरती,डरूं",5,28,Dara
डरा,"डराता,डराते",2,6,DarA
डलवा,डलवाने,1,2,DalavA
डस,डसती,1,1,Dasa
डांस,डांस,1,1,DAMsa
डाल,"डालती,डाल,डालना,डालते,डालने,डालता,डाला,डालकर,डालें,डालिए,डालेगी,डाले,डालेंगे,डाली,डालनी",15,101,DAla
डाला,डालेगा,1,1,DAlA
डुबा,"डुबाएं,डुबाने",2,1,DubA
डुबो,डुबोने,1,1,Dubo
डूब,"डूब,डूबा,डूबे,डूबने,डूबते,डूबी",6,20,DUba
डोल,डोल,1,1,Dola
ढंक,"ढंककर,ढंके,ढंक,ढंकी,ढंकने",5,3,DhaMka
ढक,"ढक,ढककर,ढके,ढकी,ढका",5,12,Dhaka
ढकेल,"ढकेला,ढकेल,ढकेलते,ढकेलना",4,6,Dhakela
ढल,"ढले,ढलते,ढलने",3,2,Dhala
ढह,ढ़हेगी,1,3,Dhaha
ढाल,"ढाला,ढाल",2,2,DhAla
ढूँढ,"ढूँढ़,ढूँढ़े",2,2,DhU.NDha
ढूंढ,"ढूंढना,ढूंढ,ढूंढा,ढूंढने,ढूंढते",5,6,DhUMDha
ढूंढ़,"ढूंढ़ने,ढूंढ़,ढूंढ़ते,ढूंढ़ा",4,12,DhUMढ़
ढूढ,ढूढें,1,2,DhUDha
ढो,"ढोने,ढ़ो,ढो",3,7,Dho
तडप,"तड़प,तड़पती",2,2,taDapa
तडपा,तड़पा,1,2,taDapA
तड़प्,तड़प्,1,1,ta.Dap
तन,"तनकर,तनी",2,7,tana
तप,"तपता,तपती",2,2,tapa
तरस,तरस,1,2,tarasa
तराश,"तराशे,तराशा,तराशने,तराश,तराशकर,तराशी",6,6,tarAsha
तरेर,तरेरे,1,2,tarera
तल,"तल,तले,तलें,तलिए,तलते",5,9,tala
तलाश,"तलाशने,तलाश,तलाशा,तलाशना,तलाशते,तलाशी",6,57,talAsha
ताक,"ताक,ताकते",2,7,tAka
तान,"तान,ताने",2,4,tAna
तिलमिला,"तिलमिला,तिलमिलाने",2,1,tilamilA
तुतला,तुतलाते,1,1,tutalA
तुल,तुले,1,3,tula
तुड़वा,तुड़वा,1,1,tu.DavA
तोड,"तोड़,तोड़ना,तोड़ा,तोड़,तोड़ने,तोड़कर,तोड़ने,तोड़ी,तोड़ा",9,29,toDa
तोड़,"तोड़कर,तोड़ते",2,3,to.Da
तोड़,"तोड़ना,तोड़ते",2,21,to.Da
तोड़मरोड़,तोड़मरोड़,1,1,to.Damaro.Da
तौल,"तौलने,तौल",2,3,taula
त्याग,"त्यागा,त्यागकर,त्याग,त्यागने",4,6,tyAga
थक,"थक,थककर",2,6,thaka
थका,थका,1,1,thakA
थपथपा,"थपथपाना,थपथपा,थपथपाकर,थपथपाते,थपथपाई",5,7,thapathapA
थम,"थमा,थमने,थम,थमी",4,12,thama
थमा,थमाते,1,4,thamA
थर्रा,"थर्रा,थर्राया",2,3,tharrA
था,"था,थी,थे,थीं",4,825,thA
थाः,थीः,1,1,thAH
थाम,"थामो,थामते,थाम",3,6,thAma
थिरक,"थिरकते,थिरकती",2,1,thiraka
दफना,"दफनाए,दफनाया,दफनाई",3,6,daphanA
दब,"दबे,दब,दबी",3,10,daba
दबा,"दबाने,दबा,दबाकर,दबाएं,दबाते,दबाया,दबाएंगे",7,13,dabA
दबोच,"दबोचने,दबोचते,दबोच",3,7,dabocha
दमक,दमकने,1,1,damaka
दर्शा,"दर्शाता,दर्शाते,दर्शाया,दर्शाने,दर्शाती,दर्शा",6,11,darshA
दर्शाए,दर्शाए,1,1,darshAe
दल,दलकर,1,295,dala
दहल,"दहल,दहलेंगे,दहली",3,3,dahala
दहला,दहला,1,1,dahalA
दाग,"दागा,दागे,दागने,दागकर,दाग,दागते,दागी",7,6,dAga
दिख,"दिखा,दिखी,दिख,दिखते,दिखने,दिखता,दिखें,दिखना,दिखेगा,दिखे,दिखती,दिखेंगे,दिखेगी",13,30,dikha
दिखा,"दिखाई,दिखाया,दिखाता,दिखाते,दिखाने,दिखाकर,दिखाएगा,दिखाती,दिखाए,दिखाना,दिखाऊंगा,दिखाएगी,दिखाएं,दिखाऊँगा,दिखायी",15,141,dikhA
दिल,दिलवाकर,1,10,dila
दिलवा,"दिलवाने,दिलवाया",2,1,dilavA
दिला,"दिलाता,दिलाकर,दिलाया,दिलाये,दिलाने,दिलाएगा,दिलाएगी,दिला,दिलाएंगे,दिलाई,दिलाते,दिलाना,दिलाती,दिलाइए",14,69,dilA
दुख,दुखा,1,9,dukha
दुत्कार,दुत्कार,1,1,dutkAra
दुबक,दुबके,1,1,dubaka
दुलार,दुलारने,1,1,dulAra
दूंगा,दूंगी,1,1,dUMgA
दे,"दी,दिया,देती,देना,देने,देगा,दिए,देता,देगी,देते,दिये,देकर,देनी,दें,दिलवाई,दिलवानी,दिलवाना,देंगी,देंगे,देतीं,दीं,देनेवाले,दो,दूंगा,दिलवा,दोगे,दीजिए,दूँ",28,2309,de
देख,"देखा,देखते,देखने,देख,देखी,देखीं,देखना,देखे,देखिये,देखें,देखकर,देखता,देखेंगे,देखो,देखेंगी,देखेगी,देखिए",17,481,dekha
